地區,2011,2012,2013,2014,2015,2016
香港.澳門 HongKong. Macao,"817,944","1,016,356","1,183,341","1,375,770","1,513,597","1,614,803"
大陸 Mainland China,"1,784,185","2,586,428","2,874,702","3,987,152","4,184,102","3,511,734"
日本 Japan,"1,294,758","1,432,315","1,421,550","1,634,790","1,627,229","1,895,702"
韓國 Korea,"242,902","259,089","351,301","527,684","658,757","884,397"
印度 India,"23,927","23,251","23,318","30,168","32,198","33,550"
中東 Middle East,"13,791","13,032","13,918","17,212","18,753","19,862"
馬來西亞 Malaysia,"307,898","341,032","394,326","439,240","431,481","474,420"
新加坡 Singapore,"299,599","327,253","364,733","376,235","393,037","407,267"
印尼 Indonesia,"156,281","163,598","171,299","182,704","177,743","188,720"
菲律賓 Philippines,"101,539","105,130","99,698","136,978","139,217","172,475"
泰國 Thailand,"102,902","97,712","104,138","104,812","124,409","195,640"
東南亞其他地區 Others,"103,756","89,354","118,467","137,177","146,380","196,636"
亞洲其他地區 Others,"14,728","10,621","9,060","1,388,305","1,425,485","1,653,908"
加拿大 Canada,"67,545","70,614","72,693","88,601","90,666","106,197"
美國 U.S.A.,"412,617","411,416","414,060","458,691","479,452","523,888"
墨西哥 Mexico,"2,010","2,323","2,295","3,172","3,063","3,138"
巴西 Brazil,"4,195","4,097","3,940","4,551","4,120","4,171"
阿根廷 Argentina,968,"1,045","1,124","1,191","1,189","1,281"
美洲其他地區 Others,"7,801","8,102","8,334","9,169","9,702","10,662"
比利時 Belgium,"4,348","4,781","4,756","5,352","6,101","6,627"
法國 France,"29,082","31,452","32,384","36,379","38,364","42,380"
德國 Germany,"44,644","45,054","46,533","52,507","54,954","59,798"
義大利 Italy,"12,407","12,932","13,663","14,895","15,615","17,102"
荷蘭 Netherlands,"14,401","15,797","16,443","18,498","19,267","23,254"
瑞士 Switzerland,"6,958","7,569","8,030","8,708","9,453","10,225"
西班牙 Spain,"6,196","6,163","7,128","8,403","9,065","10,686"
英國 U.K.,"43,419","42,776","42,438","58,201","58,784","59,867"
奧地利 Austria,"6,368","5,609","5,350","6,063","6,243","6,867"
希臘 Greece,"1,129","1,192","1,167","1,440","1,465","1,572"
瑞典 Sweden,"6,983","7,128","7,136","8,083","8,106","8,744"
俄羅斯 Russian,"6,667","7,066","7,226","8,353","7,808","7,974"
歐洲其他地區 Others,"29,546","30,526","30,808","37,998","38,810","44,660"
澳大利亞 Australia,"60,067","63,597","65,777","78,674","76,122","82,361"
紐西蘭 New Zealand,"9,436","10,734","10,694","12,886","12,805","13,676"
大洋洲其他地區 Others,"1,037","1,083","1,251","1,559","1,886","2,189"
南非 S. Africa,"4,709","4,222","4,164","4,504","4,893","5,077"
非洲其他地區 Others,"4,229","4,643","4,631","5,456","5,267","5,591"
未列明 Unstated,"36,512","37,865","65,469","6,684","7,026","7,499"
總計 Grand Total,"6,087,484","7,311,470","8,016,280","9,910,204","10,439,785","10,690,279"
